Video 2 | Frame 6 | Violation Detected
Video 2 | Frame 11 | Violation Detected
Video 2 | Frame 12 | Violation Detected
Video 2 | Frame 13 | Violation Detected
Video 2 | Frame 14 | Violation Detected
Video 2 | Frame 15 | Violation Detected
Video 2 | Frame 16 | Violation Detected
Video 2 | Frame 17 | Violation Detected
Video 2 | Frame 18 | Violation Detected
Video 2 | Frame 19 | Violation Detected
Video 2 | Frame 20 | Violation Detected
Video 2 | Frame 21 | Violation Detected
Video 2 | Frame 22 | Violation Detected
Video 2 | Frame 23 | Violation Detected
Video 2 | Frame 24 | Violation Detected
Video 2 | Frame 25 | Violation Detected
Video 2 | Frame 26 | Violation Detected
Video 2 | Frame 27 | Violation Detected
Video 2 | Frame 28 | Violation Detected
Video 2 | Frame 29 | Violation Detected
Video 2 | Frame 30 | Violation Detected
Video 2 | Frame 31 | Violation Detected
Video 2 | Frame 32 | Violation Detected
Video 2 | Frame 33 | Violation Detected
Video 2 | Frame 34 | Violation Detected
Video 2 | Frame 35 | Violation Detected
Video 2 | Frame 36 | Violation Detected
Video 2 | Frame 37 | Violation Detected
Video 2 | Frame 38 | Violation Detected
Video 2 | Frame 39 | Violation Detected
Video 2 | Frame 40 | Violation Detected
Video 2 | Frame 41 | Violation Detected
Video 2 | Frame 42 | Violation Detected
Video 2 | Frame 43 | Violation Detected
Video 2 | Frame 44 | Violation Detected
Video 2 | Frame 45 | Violation Detected
Video 2 | Frame 46 | Violation Detected
Video 2 | Frame 47 | Violation Detected
Video 2 | Frame 48 | Violation Detected
Video 2 | Frame 49 | Violation Detected
Video 2 | Frame 50 | Violation Detected
Video 2 | Frame 51 | Violation Detected
Video 2 | Frame 52 | Violation Detected
Video 2 | Frame 53 | Violation Detected
Video 2 | Frame 54 | Violation Detected
Video 2 | Frame 55 | Violation Detected
Video 2 | Frame 56 | Violation Detected
Video 2 | Frame 57 | Violation Detected
Video 2 | Frame 58 | Violation Detected
Video 2 | Frame 59 | Violation Detected
Video 2 | Frame 60 | Violation Detected
Video 2 | Frame 61 | Violation Detected
Video 2 | Frame 62 | Violation Detected
Video 2 | Frame 63 | Violation Detected
Video 2 | Frame 64 | Violation Detected
Video 2 | Frame 65 | Violation Detected
Video 2 | Frame 66 | Violation Detected
Video 2 | Frame 67 | Violation Detected
Video 2 | Frame 68 | Violation Detected
Video 2 | Frame 69 | Violation Detected
Video 2 | Frame 70 | Violation Detected
Video 2 | Frame 71 | Violation Detected
Video 2 | Frame 72 | Violation Detected
Video 2 | Frame 73 | Violation Detected
Video 2 | Frame 74 | Violation Detected
Video 2 | Frame 75 | Violation Detected
Video 2 | Frame 76 | Violation Detected
Video 2 | Frame 77 | Violation Detected
Video 2 | Frame 78 | Violation Detected
Video 2 | Frame 79 | Violation Detected
Video 2 | Frame 80 | Violation Detected
Video 2 | Frame 81 | Violation Detected
Video 2 | Frame 82 | Violation Detected
Video 2 | Frame 83 | Violation Detected
Video 2 | Frame 84 | Violation Detected
Video 2 | Frame 85 | Violation Detected
Video 2 | Frame 86 | Violation Detected
Video 2 | Frame 87 | Violation Detected
Video 2 | Frame 88 | Violation Detected
Video 2 | Frame 89 | Violation Detected
Video 2 | Frame 90 | Violation Detected
Video 2 | Frame 91 | Violation Detected
Video 2 | Frame 92 | Violation Detected
Video 2 | Frame 93 | Violation Detected
Video 2 | Frame 94 | Violation Detected
Video 2 | Frame 95 | Violation Detected
Video 2 | Frame 96 | Violation Detected
Video 2 | Frame 97 | Violation Detected
Video 2 | Frame 98 | Violation Detected
Video 2 | Frame 99 | Violation Detected
Video 2 | Frame 100 | Violation Detected
Video 2 | Frame 101 | Violation Detected
Video 2 | Frame 102 | Violation Detected
Video 2 | Frame 103 | Violation Detected
Video 2 | Frame 104 | Violation Detected
Video 2 | Frame 105 | Violation Detected
Video 2 | Frame 106 | Violation Detected
Video 2 | Frame 107 | Violation Detected
Video 2 | Frame 108 | Violation Detected
Video 2 | Frame 109 | Violation Detected
Video 2 | Frame 110 | Violation Detected
Video 2 | Frame 111 | Violation Detected
Video 2 | Frame 112 | Violation Detected
Video 2 | Frame 113 | Violation Detected
Video 2 | Frame 114 | Violation Detected
Video 2 | Frame 115 | Violation Detected
Video 2 | Frame 116 | Violation Detected
Video 2 | Frame 117 | Violation Detected
Video 2 | Frame 118 | Violation Detected
Video 2 | Frame 119 | Violation Detected
Video 2 | Frame 120 | Violation Detected
Video 2 | Frame 121 | Violation Detected
Video 2 | Frame 122 | Violation Detected
Video 2 | Frame 123 | Violation Detected
Video 2 | Frame 124 | Violation Detected
Video 2 | Frame 125 | Violation Detected
Video 2 | Frame 126 | Violation Detected
Video 2 | Frame 127 | Violation Detected
Video 2 | Frame 128 | Violation Detected
Video 2 | Frame 129 | Violation Detected
Video 2 | Frame 130 | Violation Detected
Video 2 | Frame 131 | Violation Detected
Video 2 | Frame 132 | Violation Detected
Video 2 | Frame 133 | Violation Detected
Video 2 | Frame 134 | Violation Detected
Video 2 | Frame 135 | Violation Detected
Video 2 | Frame 136 | Violation Detected
Video 2 | Frame 137 | Violation Detected
Video 2 | Frame 138 | Violation Detected
Video 2 | Frame 139 | Violation Detected
Video 2 | Frame 140 | Violation Detected
Video 2 | Frame 141 | Violation Detected
Video 2 | Frame 142 | Violation Detected
Video 2 | Frame 143 | Violation Detected
Video 2 | Frame 144 | Violation Detected
Video 2 | Frame 145 | Violation Detected
Video 2 | Frame 146 | Violation Detected
Video 2 | Frame 147 | Violation Detected
Video 2 | Frame 148 | Violation Detected
Video 2 | Frame 149 | Violation Detected
Video 2 | Frame 150 | Violation Detected
Video 2 | Frame 151 | Violation Detected
Video 2 | Frame 152 | Violation Detected
Video 2 | Frame 153 | Violation Detected
Video 2 | Frame 154 | Violation Detected
Video 2 | Frame 155 | Violation Detected
Video 2 | Frame 156 | Violation Detected
Video 2 | Frame 157 | Violation Detected
Video 2 | Frame 158 | Violation Detected
Video 2 | Frame 159 | Violation Detected
Video 2 | Frame 160 | Violation Detected
Video 2 | Frame 161 | Violation Detected
Video 2 | Frame 162 | Violation Detected
Video 2 | Frame 163 | Violation Detected
Video 2 | Frame 164 | Violation Detected
