Video 1 | Frame 1 | No Violation
Video 1 | Frame 2 | No Violation
Video 1 | Frame 3 | No Violation
Video 1 | Frame 4 | No Violation
Video 1 | Frame 5 | No Violation
Video 1 | Frame 6 | No Violation
Video 1 | Frame 7 | No Violation
Video 1 | Frame 8 | No Violation
Video 1 | Frame 9 | No Violation
Video 1 | Frame 10 | No Violation
Video 1 | Frame 11 | No Violation
Video 1 | Frame 12 | No Violation
Video 1 | Frame 13 | No Violation
Video 1 | Frame 14 | No Violation
Video 1 | Frame 15 | No Violation
Video 1 | Frame 16 | No Violation
Video 1 | Frame 17 | No Violation
Video 1 | Frame 18 | No Violation
Video 1 | Frame 19 | No Violation
Video 1 | Frame 20 | No Violation
Video 1 | Frame 21 | No Violation
Video 1 | Frame 22 | No Violation
Video 1 | Frame 23 | No Violation
Video 1 | Frame 24 | No Violation
Video 1 | Frame 25 | No Violation
Video 1 | Frame 26 | No Violation
Video 1 | Frame 27 | No Violation
Video 1 | Frame 28 | No Violation
Video 1 | Frame 29 | No Violation
Video 1 | Frame 30 | No Violation
Video 1 | Frame 31 | No Violation
Video 1 | Frame 32 | No Violation
Video 1 | Frame 33 | No Violation
Video 1 | Frame 34 | No Violation
Video 1 | Frame 35 | No Violation
Video 1 | Frame 36 | No Violation
Video 1 | Frame 37 | No Violation
Video 1 | Frame 38 | No Violation
Video 1 | Frame 39 | No Violation
Video 1 | Frame 40 | No Violation
Video 1 | Frame 41 | No Violation
Video 1 | Frame 42 | No Violation
Video 1 | Frame 43 | No Violation
Video 1 | Frame 44 | No Violation
Video 1 | Frame 45 | No Violation
Video 1 | Frame 46 | No Violation
Video 1 | Frame 47 | No Violation
Video 1 | Frame 48 | No Violation
Video 1 | Frame 49 | No Violation
Video 1 | Frame 50 | No Violation
Video 1 | Frame 51 | No Violation
Video 1 | Frame 52 | No Violation
Video 1 | Frame 53 | No Violation
Video 1 | Frame 54 | No Violation
Video 1 | Frame 55 | No Violation
Video 1 | Frame 56 | No Violation
Video 1 | Frame 57 | No Violation
Video 1 | Frame 58 | No Violation
Video 1 | Frame 59 | No Violation
Video 1 | Frame 60 | No Violation
Video 1 | Frame 61 | No Violation
Video 1 | Frame 62 | No Violation
Video 1 | Frame 63 | No Violation
Video 1 | Frame 64 | No Violation
Video 1 | Frame 65 | No Violation
Video 1 | Frame 66 | No Violation
Video 1 | Frame 67 | No Violation
Video 1 | Frame 68 | No Violation
Video 1 | Frame 69 | No Violation
Video 1 | Frame 70 | No Violation
Video 1 | Frame 71 | No Violation
Video 1 | Frame 72 | No Violation
Video 1 | Frame 73 | No Violation
Video 1 | Frame 74 | No Violation
Video 1 | Frame 75 | No Violation
Video 1 | Frame 76 | No Violation
Video 1 | Frame 77 | No Violation
Video 1 | Frame 78 | No Violation
Video 1 | Frame 79 | No Violation
Video 1 | Frame 80 | No Violation
Video 1 | Frame 81 | No Violation
Video 1 | Frame 82 | No Violation
Video 1 | Frame 83 | No Violation
Video 1 | Frame 84 | No Violation
Video 1 | Frame 85 | No Violation
Video 1 | Frame 86 | No Violation
Video 1 | Frame 87 | No Violation
Video 1 | Frame 88 | No Violation
Video 1 | Frame 89 | No Violation
Video 1 | Frame 90 | No Violation
Video 1 | Frame 91 | No Violation
Video 1 | Frame 92 | No Violation
Video 1 | Frame 93 | No Violation
Video 1 | Frame 94 | No Violation
Video 1 | Frame 95 | No Violation
Video 1 | Frame 96 | No Violation
